Date,Aegean,Central Anatolia,Eastern Blacksea,Eastern Marmara,Istanbul,Mediterranean,Mideastern Anatolia,Northeastern Anatolia,Southeastern Anatolia,Western Anatolia,Western Blacksea,Western Marmara
2020-11-23,66,27,14,99,137,59,23,16,59,52,37,24
2020-11-22,59,29,13,97,117,52,24,22,50,49,42,21
2020-11-21,68,34,16,109,133,61,24,21,53,57,43,25
2020-11-20,74,29,13,106,133,62,26,17,60,52,41,25
2020-11-19,71,34,15,94,131,53,23,18,54,62,50,23
2020-11-18,64,28,14,88,136,55,26,18,57,62,43,21
2020-11-17,64,28,12,91,130,56,26,22,50,56,36,24
2020-11-16,56,25,12,91,134,54,28,19,60,60,35,17
2020-11-15,61,27,13,89,125,49,24,18,55,63,31,20
2020-11-14,59,30,15,93,128,49,25,22,53,51,38,21
2020-11-13,55,31,16,97,124,55,25,23,51,50,36,18
2020-11-12,58,31,12,86,115,41,26,17,49,58,38,17
2020-11-11,60,25,12,86,120,39,20,16,47,55,33,17
2020-11-10,64,28,11,80,117,43,21,16,54,51,34,20
2020-11-09,51,22,10,79,114,46,27,16,53,45,29,22
2020-11-08,50,16,7,87,129,40,21,11,41,59,30,13
2020-11-07,55,27,11,88,109,45,28,16,42,50,30,16
2020-11-06,62,32,12,78,109,47,28,17,49,53,32,20
2020-11-05,54,28,11,77,102,47,20,20,48,52,28,19
2020-11-04,48,26,14,81,113,42,22,17,40,60,33,17
2020-11-03,50,20,10,89,117,42,24,17,46,62,29,11
2020-11-02,49,19,8,84,123,42,22,14,48,57,28,10
2020-11-01,53,32,13,80,111,49,25,17,39,62,29,22
2020-10-31,53,26,13,82,117,42,23,18,44,70,32,27
2020-10-30,51,24,14,62,103,51,32,20,47,69,36,23
2020-10-29,44,30,10,70,98,43,28,17,39,62,31,20
2020-10-28,45,24,10,71,98,33,20,17,39,65,29,23
2020-10-27,43,27,11,72,101,44,22,17,39,62,27,20
2020-10-26,41,22,11,57,88,45,21,12,42,57,25,24
2020-10-25,48,27,14,60,82,45,31,12,40,60,30,34
2020-10-24,43,27,12,59,94,44,19,14,35,70,33,23
2020-10-23,43,30,11,60,91,39,19,14,37,65,32,16
2020-10-22,40,25,9,62,85,45,21,17,30,64,33,24
2020-10-21,38,25,7,56,82,43,25,14,33,62,24,16
2020-10-20,39,28,8,48,88,31,22,15,36,77,23,18
2020-10-19,32,22,11,52,81,41,17,15,40,71,21,10
2020-10-18,27,21,8,46,85,37,18,16,39,71,20,18
2020-10-17,32,28,8,48,71,35,22,17,33,56,25,16
2020-10-16,31,26,10,40,57,42,24,15,35,66,26,15
2020-10-15,37,24,13,49,54,46,25,13,42,63,24,14
2020-10-14,35,40,12,42,50,39,27,20,49,61,27,17
2020-10-13,31,39,8,32,67,38,22,18,39,61,27,12
2020-10-12,38,22,8,42,74,42,19,14,38,68,23,12
2020-10-11,35,31,11,36,67,36,24,12,33,72,28,18
2020-10-10,40,40,13,39,53,40,26,20,47,63,32,15
2020-10-09,35,48,9,32,48,60,36,18,50,65,31,12
2020-10-08,38,43,12,43,52,50,32,22,49,75,34,12
2020-10-07,34,42,9,44,44,57,32,19,42,81,36,12
2020-10-06,37,40,14,36,45,56,30,25,52,67,34,14
2020-10-05,31,41,10,39,41,67,35,17,55,64,28,14
2020-10-04,33,43,8,37,46,56,33,22,54,80,30,12
2020-10-03,34,50,13,36,49,61,34,20,46,68,36,13
2020-10-02,40,48,12,45,43,57,30,20,47,80,31,13
2020-10-01,33,54,14,36,49,66,38,21,54,92,37,12
2020-09-30,39,63,14,39,51,54,38,20,46,84,36,10
2020-09-29,40,54,10,39,45,59,33,25,55,77,44,15
2020-09-28,33,54,10,41,46,60,32,22,49,84,39,15
2020-09-27,42,55,10,34,45,59,40,19,44,80,40,12
2020-09-26,47,52,8,35,49,56,33,20,46,79,35,11
2020-09-25,33,51,8,35,44,55,29,21,51,72,33,11
