Date,Aegean,Central Anatolia,Eastern Blacksea,Eastern Marmara,Istanbul,Mediterranean,Mideastern Anatolia,Northeastern Anatolia,Southeastern Anatolia,Western Anatolia,Western Blacksea,Western Marmara
2020-11-23,93,39,24,124,159,92,22,21,60,81,64,32
2020-11-22,101,42,24,113,149,65,24,19,58,61,62,36
2020-11-21,95,42,21,119,165,81,25,26,58,72,62,31
2020-11-20,103,45,21,131,159,91,21,22,57,68,55,34
2020-11-19,106,38,22,123,165,83,22,21,62,76,61,34
2020-11-18,97,39,19,124,168,69,21,18,62,78,55,39
2020-11-17,100,32,21,126,165,78,21,27,64,70,54,37
2020-11-16,89,31,15,117,158,66,21,22,58,72,49,29
2020-11-15,78,44,15,100,151,66,23,33,65,70,48,36
2020-11-14,86,37,14,117,173,51,24,26,65,80,48,32
2020-11-13,89,37,21,116,163,70,29,25,61,79,53,29
2020-11-12,87,37,20,114,166,71,21,23,60,83,57,30
2020-11-11,81,37,12,125,152,69,27,21,65,71,56,26
2020-11-10,83,37,18,117,167,65,28,25,64,78,54,25
2020-11-09,84,35,16,113,158,68,32,20,71,73,54,25
2020-11-08,75,31,16,116,166,68,25,24,60,74,50,28
2020-11-07,77,46,15,116,159,70,37,25,62,66,41,24
2020-11-06,72,34,19,116,170,69,28,25,61,79,48,32
2020-11-05,75,39,14,110,145,66,27,27,65,76,42,25
2020-11-04,83,36,16,116,157,61,27,28,55,71,49,24
2020-11-03,88,29,12,105,161,60,28,20,68,71,47,22
2020-11-02,78,32,11,95,146,62,34,22,65,68,45,17
2020-11-01,58,28,8,90,134,61,36,25,61,70,45,35
2020-10-31,69,37,17,105,142,52,22,30,66,68,36,35
2020-10-30,65,40,15,99,151,54,30,24,65,72,42,30
2020-10-29,64,38,15,93,129,49,41,24,67,77,43,24
2020-10-28,70,31,14,110,131,45,29,16,57,72,40,34
2020-10-27,61,34,15,86,135,54,29,24,57,88,36,24
2020-10-26,65,38,13,87,112,50,34,19,60,82,36,26
2020-10-25,73,38,13,85,102,47,39,25,51,72,46,30
2020-10-24,58,37,11,80,138,51,28,19,50,79,50,33
2020-10-23,59,41,13,104,122,59,26,19,63,73,45,20
2020-10-22,53,38,12,82,114,60,30,24,47,67,46,28
2020-10-21,69,29,12,85,111,54,26,18,45,63,35,24
2020-10-20,58,43,7,68,101,51,29,19,45,74,31,26
2020-10-19,47,30,13,68,109,44,26,14,57,85,29,21
2020-10-18,49,27,11,64,102,39,23,18,52,63,33,25
2020-10-17,53,39,14,71,89,51,28,17,45,73,32,25
2020-10-16,59,41,12,59,109,56,23,23,49,71,30,19
2020-10-15,43,33,11,74,96,48,25,16,42,81,37,19
2020-10-14,34,31,16,77,88,51,31,15,43,69,35,22
2020-10-13,52,28,13,59,76,51,24,18,36,72,33,20
2020-10-12,50,26,11,57,88,48,22,18,46,73,32,15
2020-10-11,42,46,11,59,71,49,33,21,52,75,35,10
2020-10-10,39,31,8,51,83,46,31,16,40,74,42,17
2020-10-09,48,36,15,46,79,45,23,15,46,82,35,15
2020-10-08,49,35,16,66,67,57,26,15,48,70,24,18
2020-10-07,39,38,10,60,76,36,34,19,41,86,30,17
2020-10-06,36,32,13,49,79,47,26,18,45,74,36,10
2020-10-05,34,36,13,46,63,45,32,22,47,77,30,15
2020-10-04,36,47,13,35,48,43,34,31,43,77,37,19
2020-10-03,38,45,14,45,63,40,44,21,45,72,29,7
2020-10-02,43,41,13,55,54,55,30,18,55,78,32,14
2020-10-01,34,47,12,47,59,52,41,21,51,77,31,10
2020-09-30,41,46,14,45,57,59,40,22,52,76,31,7
2020-09-29,46,52,12,38,52,52,42,23,53,87,38,13
2020-09-28,41,62,13,43,55,53,45,18,56,88,38,8
2020-09-27,40,66,13,30,42,62,32,21,62,74,36,9
2020-09-26,36,57,11,42,56,57,35,22,51,84,37,11
2020-09-25,42,60,14,34,51,56,43,28,48,88,36,11
2020-09-24,45,46,8,43,47,64,36,26,55,97,45,15
2020-09-23,36,66,10,43,47,70,41,27,63,93,43,6
2020-09-22,36,56,13,36,42,71,46,26,52,96,38,13
2020-09-21,40,55,11,42,52,65,42,21,60,86,36,8
2020-09-20,39,71,11,29,45,55,40,31,56,101,34,8
2020-09-19,39,73,12,53,61,64,47,32,63,112,36,4
2020-09-18,47,88,20,46,51,73,59,30,59,118,46,4
2020-09-17,47,85,14,43,55,71,38,27,58,130,46,10
2020-09-16,60,83,9,49,64,62,45,28,66,129,49,7
2020-09-15,46,87,13,34,73,69,44,33,76,106,42,11
2020-09-14,40,81,12,44,59,78,45,27,71,115,48,7
2020-09-13,41,81,9,46,62,73,35,26,69,110,34,9
2020-09-12,53,90,9,46,51,62,46,38,69,105,44,6
2020-09-11,42,76,19,42,68,73,47,31,64,113,55,11
2020-09-10,42,70,12,43,57,57,48,35,54,126,47,7
