Date,Aegean,Central Anatolia,Eastern Blacksea,Eastern Marmara,Istanbul,Mediterranean,Mideastern Anatolia,Northeastern Anatolia,Southeastern Anatolia,Western Anatolia,Western Blacksea,Western Marmara
2020-11-23,893,294,226,899,1.557,728,193,137,468,533,551,234
2020-11-22,902,232,179,733,1.361,711,187,110,402,433,504,262
2020-11-21,810,199,167,792,1.404,564,137,101,389,367,368,234
2020-11-20,695,213,156,697,1.289,515,135,99,350,368,350,236
2020-11-19,603,175,134,696,1.161,430,129,86,289,347,320,171
2020-11-18,587,164,107,625,1.067,398,113,79,291,314,293,178
2020-11-17,546,150,101,548,1.008,347,103,68,250,293,248,158
2020-11-16,448,133,91,504,868,280,96,62,218,264,243,109
2020-11-15,486,102,68,497,910,252,85,62,229,220,187,126
2020-11-14,465,113,82,494,834,252,83,57,224,221,179,111
2020-11-13,421,123,79,476,866,237,86,58,186,237,176,100
2020-11-12,364,120,64,437,812,226,84,54,208,234,162,77
2020-11-11,331,116,64,406,790,206,69,53,203,212,140,103
2020-11-10,305,100,52,360,777,200,73,50,188,209,138,76
2020-11-09,328,109,57,387,744,182,84,52,173,230,155,75
2020-11-08,312,95,52,376,803,196,75,48,176,173,135,75
2020-11-07,307,86,48,364,739,182,80,50,197,203,148,79
2020-11-06,317,102,55,356,725,173,84,54,167,197,129,77
2020-11-05,287,88,45,350,709,171,74,47,168,191,122,59
2020-11-04,299,95,47,327,727,174,84,56,174,211,134,62
2020-11-03,269,95,38,303,765,169,88,54,180,206,120,57
2020-11-02,264,92,40,327,743,175,92,53,158,194,116,48
2020-11-01,244,79,30,321,647,161,84,49,166,177,97,51
2020-10-31,254,89,44,303,682,180,86,52,172,197,98,57
2020-10-30,242,104,40,297,783,164,94,50,170,206,118,53
2020-10-29,282,83,39,309,805,159,76,47,161,202,101,55
2020-10-28,253,94,39,284,735,195,99,49,183,211,108,54
2020-10-27,265,87,40,263,728,163,92,50,170,208,100,44
2020-10-26,224,93,35,297,802,132,93,41,151,204,85,41
2020-10-25,205,76,26,256,748,135,78,37,147,192,79,37
2020-10-24,225,82,28,276,787,127,75,34,148,193,73,43
2020-10-23,227,93,30,280,735,163,100,42,153,217,84,41
2020-10-22,213,105,33,258,708,136,98,41,165,221,87,36
2020-10-21,214,96,32,242,687,137,86,42,148,211,83,35
